no,country_name,2000_Reading,2000_Mathematics,2000_Science,2003_Reading,2003_Mathematics,2003_Science,2006_Reading,2006_Mathematics,2006_Science,2009_Reading,2009_Mathematics,2009_Science,2012_Reading,2012_Mathematics,2012_Science,2015_Reading,2015_Mathematics,2015_Science,2018_Reading,2018_Mathematics,2018_Science,2022_Reading,2022_Mathematics,2022_Science
86,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,403,406,398,,,
87,Lebanon,,,,,,,,,,,,,,,,347,396,386,353,393,384,,,
88,Trinidad and Tobago,,,,,,,,,,416,414,410,,,,427,417,425,,,,,,
89,Tunisia,,,,375,359,385,380,365,386,404,371,401,404,388,398,361,367,386,,,,,,
90,Algeria,,,,,,,,,,,,,,,,350,360,376,,,,,,
91,India,,,,,,,,,,327,345,337,,,,,,,,,,,,
92,Kyrgyz Republic,,,,,,,285,311,322,314,331,330,,,,,,,,,,,,
93,Liechtenstein,,,476,,,,510,525,522,499,536,520,516,535,525,,,,,,,,,
94,Mauritius,,,,,,,,,,407,420,417,,,,,,,,,,,,
95,"Venezuela, RB",,,,,,,,,,422,397,422,,,,,,,,,,,,
